Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
The Tortured,2010,"Horror, Thriller",5.4,5,9,5.2,"8,308",N/A,N/A,movie,Foreign
Twelve,2010,"Action, Drama, Thriller",5.6,3,22,5.8,"12,739",1 nomination,"$183,920",movie,Foreign
The Girlfriend Experience,2009,Drama,5.5,67,66,5.0,"17,323",2 nominations,"$695,840",movie,Foreign
The Joneses,2009,"Comedy, Drama",6.4,62,55,6.2,"41,873",1 nomination,"$1,475,746",movie,Foreign
Whatever Works,2009,"Comedy, Romance",7.1,50,45,7.099,"77,359",2 wins & 1 nomination,"$5,306,706",movie,Foreign
Mother and Child,2009,"Drama, Romance",7.2,79,64,6.6,"12,858",4 wins & 12 nominations,"$1,110,509",movie,Foreign
The Messenger,2009,"Drama, Romance, War",7.1,90,77,6.7,"36,931",Nominated for 2 Oscars. 17 wins & 47 nominations total,"$1,109,660",movie,Foreign
Leaves of Grass,2009,"Comedy, Crime, Drama",6.4,63,58,6.0,"28,096",1 nomination,"$70,066",movie,Foreign
Echelon Conspiracy,2009,"Action, Crime, Thriller",5.7,8,26,6.3,"20,020",N/A,"$666,009",movie,Foreign
Imagine Me & You,2005,"Comedy, Drama, Romance",6.7,35,49,7.6,"36,720",1 nomination,"$672,243",movie,Domestic
Boy A,2007,Drama,7.6,88,75,7.1,"39,071",Won 4 BAFTA 13 wins & 11 nominations total,"$113,662",movie,Foreign
Transsiberian,2008,"Crime, Drama, Mystery",6.6,91,72,6.4,"55,117",2 wins & 11 nominations,"$2,206,405",movie,Foreign
"Synecdoche, New York",2008,Drama,7.5,69,67,7.6,"99,465",8 wins & 29 nominations,"$3,083,538",movie,Foreign
The Insatiable,2006,"Comedy, Horror, Romance",5.2,,,,,,,,Foreign
Broken Flowers,2005,"Comedy, Drama, Mystery",7.1,87,79,6.9,"107,506",5 wins & 14 nominations,"$13,744,960",movie,Domestic
Killer Movie,2008,"Comedy, Horror, Mystery",4.4,,,,,,,,Foreign
After Sex,2007,"Comedy, Drama, Romance",5.5,,,,,,,,Foreign
The Brothers Bloom,2008,"Action, Adventure, Comedy",6.7,68,55,6.611,"52,897",3 nominations,"$3,531,756",movie,Foreign
Unknown,2006,"Crime, Drama, Mystery",6.4,38,44,6.2,"31,631",N/A,"$26,403",movie,Foreign
Zombie Strippers!,2008,"Comedy, Horror, Sci-Fi",4.1,38,45,4.7,"19,089",1 nomination,N/A,movie,Foreign
Outlaw,2007,"Action, Crime, Drama",5.7,45/10,45,5.3,"12,849",N/A,N/A,movie,Foreign
Passengers,2008,"Mystery, Romance, Thriller",5.8,19,40,6.1,"39,601",N/A,"$292,437",movie,Foreign
Gabriel,2007,"Action, Fantasy, Horror",5.5,,,,,,,,Foreign
Nothing But the Truth,2008,"Crime, Drama, Mystery",7.1,64/10,64,6.9,"40,193",2 wins & 2 nominations,N/A,movie,Foreign
Deadgirl,2008,Horror,5.5,37,36,5.3,"20,041",2 wins & 5 nominations,N/A,movie,Foreign
The Hottie & the Nottie,2008,"Comedy, Romance",2.0,6,7,2.8,"39,184",4 wins & 4 nominations,"$27,696",movie,Foreign
Undisputed 2: Last Man Standing,2006,"Action, Crime, Drama, Sport",7.1,,,,,,,,Foreign
Cleaner,2007,"Crime, Thriller",6.1,17,49,6.1,"46,062",1 nomination,N/A,movie,Foreign
Ken Park,2002,Drama,5.8,46,N/A,6.0,"31,018",3 nominations,N/A,movie,Foreign
Waking Life,2001,"Animation, Drama, Fantasy",7.7,81,84,7.5,"67,622",5 wins & 21 nominations,"$2,901,447",movie,Foreign
Elephant,2003,"Crime, Drama, Thriller",7.1,74,70,7.1,"98,665",8 wins & 13 nominations,"$1,266,955",movie,Foreign
The Station Agent,2003,"Comedy, Drama",7.6,94,81,7.3,"74,046",Won 1 BAFTA Award29 wins & 31 nominations total,"$5,739,376",movie,Foreign
A Room with a View,1985,"Drama, Romance",7.2,100,83,7.0,"48,851",Won 3 Oscars. 25 wins & 22 nominations total,"$20,966,644",movie,Foreign
The Last Temptation of Christ,1988,Drama,7.5,82,80,7.2,"64,152",Nominated for 1 Oscar. 2 wins & 7 nominations total,"$8,373,585",movie,Domestic
Stand and Deliver,1988,"Biography, Drama",7.3,90,77,7.6,"22,716",Nominated for 1 Oscar. 11 wins & 7 nominations total,"$13,994,920",movie,Foreign
Sophie's Choice,1982,"Drama, Romance",7.5,74,68,7.3,"53,441",Won 1 Oscar. 15 wins & 14 nominations total,"$30,036,000",movie,Foreign
Saturday Night Fever,1977,"Drama, Music",6.8,82,77,6.7,"88,997",Nominated for 1 Oscar. 6 wins & 14 nominations total,"$94,213,184",movie,Foreign
Sand Castles,2014,"Crime, Drama, Thriller",6.0,,,,,,,,Foreign
The Holy Mountain,1973,"Adventure, Drama, Fantasy",7.7,85,76,7.6,"48,983",1 win & 1 nomination,"$61,001",movie,Foreign
The Outlaw Josey Wales,1976,"Drama, Western",7.8,91,69,7.4,"81,420",Nominated for 1 Oscar. 1 win & 2 nominations total,"$31,800,000",movie,Foreign
Slap Shot,1977,"Comedy, Drama, Sport",7.3,85,61,6.8,"42,079",1 win & 3 nominations,"$28,000,000",movie,Foreign
Eraserhead,1977,"Fantasy, Horror",7.3,89,87,7.361,"130,280",3 wins & 2 nominations,N/A,movie,Foreign
Taps,1981,Drama,6.8,68,49,6.8,"20,458",1 nomination,"$35,856,053",movie,Foreign
Kramer vs. Kramer,1979,Drama,7.8,89,77,7.6,"157,040",Won 5 Oscars. 41 wins & 26 nominations total,"$106,260,000",movie,Foreign
48 Hrs.,1982,"Action, Comedy, Crime",6.9,92,71,6.682,"87,200",2 wins & 2 nominations,"$78,868,508",movie,Foreign
Firefox,1982,"Action, Adventure, Thriller",5.9,41,44,6.019,"29,656",N/A,"$46,708,276",movie,Foreign
Christine,1983,"Horror, Thriller",6.8,72,57,6.857,"94,316",2 nominations,"$21,017,849",movie,Foreign
Videodrome,1983,"Horror, Sci-Fi, Thriller",7.2,83,60,7.3,"104,887",3 wins & 7 nominations,"$2,120,439",movie,Foreign
Gung Ho,1986,"Comedy, Drama",6.3,33,48,6.0,"14,185",1 win,"$36,611,610",movie,Foreign
Howard the Duck,1986,"Action, Adventure, Comedy",4.7,13,28,5.4,"51,628",5 wins & 4 nominations,"$16,295,774",movie,Foreign
The Karate Kid Part II,1986,"Action, Family, Sport",6.1,47,55,6.283,"100,799",Nominated for 1 Oscar. 4 wins & 3 nominations total,"$115,103,979",movie,Foreign
Mannequin,1987,"Comedy, Fantasy, Romance",6.0,20,21,6.8,"36,825",Nominated for 1 Oscar. 5 wins & 4 nominations total,"$42,721,196",movie,Foreign
Masters of the Universe,1987,"Action, Adventure, Fantasy",5.4,21,35,5.7,"45,332",2 wins & 5 nominations,"$17,336,370",movie,Foreign
Superman IV: The Quest for Peace,1987,"Action, Adventure, Sci-Fi",3.7,10,24,4.6,"53,384",3 wins & 6 nominations,"$15,681,020",movie,Domestic
Dangerous Liaisons,1988,"Drama, Romance",7.5,94,74,7.2,"75,865",Won 3 Oscars. 21 wins & 23 nominations total,"$34,670,720",movie,Foreign
The Dead Pool,1988,"Action, Crime, Mystery",6.3,53,46,6.261,"49,827",N/A,"$37,903,295",movie,Foreign
Dirty Rotten Scoundrels,1988,"Comedy, Crime",7.4,89,68,7.1,"79,755",1 win & 1 nomination,"$42,039,085",movie,Foreign
The Great Outdoors,1988,Comedy,6.6,40,24,6.4,"52,563",N/A,"$41,455,230",movie,Foreign
Twins,1988,"Comedy, Crime",6.2,42,53,6.0,"139,333",4 wins & 1 nomination,"$111,938,388",movie,Foreign
The 'Burbs,1989,"Comedy, Mystery, Thriller",6.8,56,45,6.8,"84,841",1 nomination,"$36,601,993",movie,Foreign
Flatliners,1990,"Drama, Horror, Sci-Fi",6.5,50,55,6.5,"94,619",Nominated for 1 Oscar. 3 nominations total,"$61,489,265",movie,Foreign
The Rescuers Down Under,1990,"Animation, Adventure, Comedy",6.8,72,70,6.627,"48,175",6 wins,"$27,931,461",movie,Foreign
RoboCop 2,1990,"Action, Crime, Sci-Fi",5.8,28,42,6.0,"94,642",3 nominations,"$45,681,173",movie,Foreign
What About Bob?,1991,Comedy,7.0,82,60,6.851,"75,240",2 wins & 2 nominations,"$63,707,829",movie,Foreign
Benny & Joon,1993,"Comedy, Drama, Romance",7.1,76,57,7.011,"62,591",4 nominations,"$23,261,580",movie,Foreign
The Three Musketeers,1993,"Action, Adventure, Romance",6.4,30,43,6.4,"60,387",2 wins & 3 nominations,"$53,898,845",movie,Domestic
Above the Rim,1994,"Crime, Drama, Sport",6.6,50,N/A,6.9,"17,308",1 nomination,"$16,192,320",movie,Foreign
D2: The Mighty Ducks,1994,"Comedy, Drama, Family",6.1,20,N/A,6.2,"43,606",N/A,"$45,610,410",movie,Foreign
The American President,1995,"Comedy, Drama, Romance",6.8,91,67,6.5,"61,125",Nominated for 1 Oscar. 1 win & 11 nominations total,"$60,079,496",movie,Foreign
The Bridges of Madison County,1995,"Drama, Romance",7.6,90,69,7.7,"90,616",Nominated for 1 Oscar. 7 wins & 19 nominations total,"$71,516,617",movie,Foreign
A Goofy Movie,1995,"Animation, Adventure, Comedy",6.9,59,53,6.983,"64,386",5 nominations,"$35,348,597",movie,Foreign
Johnny Mnemonic,1995,"Action, Drama, Sci-Fi",5.6,20,36,5.7,"77,217",2 wins & 3 nominations,"$19,075,720",movie,Domestic
A Little Princess,1995,"Drama, Family, Fantasy",7.6,97,83,7.6,"37,212",Nominated for 2 Oscars. 3 wins & 10 nominations total,"$10,015,449",movie,Foreign
Now and Then,1995,"Comedy, Drama, Romance",6.8,33,50,6.9,"32,929",1 nomination,"$27,112,329",movie,Foreign
Tank Girl,1995,"Action, Comedy, Sci-Fi",5.4,45,46,5.419,"35,486",N/A,"$4,064,495",movie,Foreign
Bulletproof,1996,"Action, Comedy, Crime",5.8,8,30,5.688,"40,479",2 nominations,"$21,576,954",movie,Foreign
Last Man Standing,1996,"Action, Crime, Drama",6.4,42,44,6.3,"61,566",N/A,"$18,115,927",movie,Foreign
Rumble in the Bronx,1995,"Action, Comedy, Crime",6.7,80,61,6.8,"46,657",2 wins & 11 nominations,"$32,392,047",movie,Foreign
Tin Cup,1996,"Comedy, Drama, Romance",6.4,72,60,6.0,"54,049",4 nominations,"$53,854,588",movie,Foreign
Bean,1997,"Adventure, Comedy, Family",6.5,43,52,6.459,"111,755",2 wins & 1 nomination,"$45,319,423",movie,Domestic
Conspiracy Theory,1997,"Action, Drama, Mystery",6.7,57,49,6.6,"108,713",4 wins & 1 nomination,"$75,982,834",movie,Foreign
The Devil's Own,1997,"Action, Crime, Drama",6.2,37,53,6.2,"72,852",1 nomination,"$42,868,348",movie,Foreign
George of the Jungle,1997,"Action, Adventure, Comedy",5.5,55,53,5.61,"85,366",1 win & 3 nominations,"$105,263,257",movie,Foreign
He Got Game,1998,"Drama, Sport",6.9,80,64,6.744,"52,210",10 nominations,"$21,567,853",movie,Foreign
U.S. Marshals,1998,"Action, Crime, Thriller",6.6,30,47,6.5,"115,650",1 nomination,"$57,167,405",movie,Foreign
BASEketball,1998,"Comedy, Sport",6.5,41,38,6.1,"67,023",2 nominations,"$7,027,290",movie,Foreign
Analyze This,1999,"Comedy, Crime",6.7,69,61,6.5,"163,025",4 wins & 7 nominations,"$106,885,658",movie,Foreign
Drop Dead Gorgeous,1999,"Comedy, Romance, Thriller",6.7,47,28,6.4,"41,594",2 wins & 2 nominations,"$10,571,408",movie,Foreign
Go,1999,"Comedy, Crime",7.2,91,72,6.942,"76,086",5 wins & 7 nominations,"$16,943,454",movie,Foreign
Life,1999,"Comedy, Crime, Drama",6.8,52,63,6.668,"55,908",Nominated for 1 Oscar. 1 win & 6 nominations total,"$64,016,268",movie,Foreign
Stir of Echoes,1999,"Horror, Mystery, Thriller",6.9,68,67,6.7,"88,825",3 wins & 5 nominations,"$21,142,914",movie,Foreign
Love & Basketball,2000,"Drama, Romance, Sport",7.2,85,72,7.4,"24,836",14 wins & 15 nominations,"$27,475,093",movie,Foreign
Mission to Mars,2000,"Adventure, Sci-Fi, Thriller",5.7,34/10,34,6.0,"77,104",3 nominations,"$60,883,407",movie,Domestic
Romeo Must Die,2000,"Action, Crime, Thriller",6.1,32,52,6.251,"74,377",2 wins & 7 nominations,"$55,973,336",movie,Foreign
Battlefield Earth,2000,"Action, Adventure, Sci-Fi",2.5,3,9,3.3,"83,826",19 wins & 3 nominations,"$21,471,685",movie,Foreign
The Family Man,2000,"Comedy, Drama, Fantasy",6.8,53,42,6.8,"120,431",4 wins & 7 nominations,"$75,793,305",movie,Foreign
The Gift,2000,"Drama, Fantasy, Horror",6.7,58,62,6.44,"76,043",11 nominations,"$12,008,642",movie,Foreign
Shanghai Noon,2000,"Action, Adventure, Comedy",6.6,80,77,6.4,"136,838",1 win & 7 nominations,"$56,937,502",movie,Foreign
Space Cowboys,2000,"Action, Adventure, Thriller",6.5,78,73,6.4,"87,342",Nominated for 1 Oscar. 4 wins & 9 nominations total,"$90,464,773",movie,Foreign
Vertical Limit,2000,"Action, Adventure, Drama",5.9,49,48,6.0,"66,057",Nominated for 1 BAFTA Award2 wins & 4 nominations total,"$69,243,859",movie,Foreign
Where the Heart Is,2000,"Comedy, Drama, Romance",6.7,35,30,7.101,"36,737",1 win & 2 nominations,"$33,772,838",movie,Foreign
Black Knight,2001,"Adventure, Comedy, Fantasy",4.9,15,32,5.4,"43,770",2 nominations,"$33,426,971",movie,Foreign
Joy Ride,2001,"Action, Mystery, Thriller",6.6,74,75,6.5,"77,384",5 nominations,"$21,974,919",movie,Foreign
Life as a House,2001,Drama,7.4,47,45,7.063,"45,905",2 wins & 9 nominations,"$15,667,270",movie,Foreign
Rock Star,2001,"Drama, Music",6.3,54/10,54,6.7,"45,601",1 nomination,"$17,008,282",movie,Foreign
Frailty,2001,"Crime, Drama, Thriller",7.2,75,64,7.0,"93,111",5 wins & 16 nominations,"$13,110,448",movie,Foreign
Blue Crush,2002,"Drama, Romance, Sport",5.7,36,61,6.0,"33,288",1 win & 7 nominations,"$40,390,647",movie,Foreign
Changing Lanes,2002,"Drama, Thriller",6.5,78,69,6.265,"75,328",7 nominations,"$66,818,548",movie,Foreign
Collateral Damage,2002,"Action, Drama, Thriller",5.5,19,33,5.762,"78,543",N/A,"$40,077,257",movie,Foreign
Murder by Numbers,2002,"Crime, Mystery, Thriller",6.2,50/10,50,6.1,"63,324",2 nominations,"$31,945,749",movie,Foreign
Spirit: Stallion of the Cimarron,2002,"Animation, Adventure, Drama",7.2,69,52,7.695,"87,401",Nominated for 1 Oscar. 10 wins & 22 nominations total,"$73,280,117",movie,Foreign
The Sweetest Thing,2002,"Comedy, Romance",5.2,26,32,5.5,"63,320",1 win & 4 nominations,"$24,718,164",movie,Foreign
The Tuxedo,2002,"Action, Comedy, Sci-Fi",5.4,21,30,5.7,"89,609",2 wins & 1 nomination,"$50,547,998",movie,Foreign
Confidence,2003,"Crime, Thriller",6.6,69,59,6.2,"35,624",N/A,"$12,251,640",movie,Foreign
Deliver Us from Eva,2003,"Comedy, Drama, Romance",6.0,43,46,6.5,"7,799",4 wins & 12 nominations,"$17,573,594",movie,Foreign
Hollywood Homicide,2003,"Action, Comedy, Crime",5.3,30,47,5.2,"39,483",1 win,"$30,940,691",movie,Foreign
Just Married,2003,"Comedy, Romance",5.5,28/10,28,5.8,"74,995",9 nominations,"$56,127,162",movie,Domestic
National Security,2003,"Action, Comedy, Crime",5.6,11,31,5.9,"55,274",N/A,"$36,381,186",movie,Foreign
Honey,2003,"Drama, Music, Romance",5.3,21,37,6.3,"47,810",8 nominations,"$30,308,417",movie,Foreign
House of Sand and Fog,2003,"Crime, Drama",7.5,74,71,7.1,"73,405",Nominated for 3 Oscars. 13 wins & 42 nominations total,"$13,040,288",movie,Foreign
After the Sunset,2004,"Action, Comedy, Crime",6.2,18,38,6.2,"50,204",1 nomination,"$28,331,233",movie,Foreign
Bridget Jones: The Edge of Reason,2004,"Comedy, Drama, Romance",6.0,27,44,6.241,"124,077",11 nominations,"$40,226,215",movie,Domestic
Dirty Dancing: Havana Nights,2004,"Drama, Music, Romance",5.9,23,39,6.4,"29,716",1 nomination,"$14,161,590",movie,Foreign
The Forgotten,2004,"Drama, Mystery, Sci-Fi",5.8,31,43,5.9,"68,793",7 nominations,"$67,133,509",movie,Foreign
Garfield: The Movie,2004,"Adventure, Comedy, Family",5.0,14,27,5.718,"95,612",1 win & 1 nomination,"$75,369,589",movie,Foreign
I Heart Huckabees,2004,Comedy,6.5,64,55,6.3,"66,486",3 wins & 11 nominations,"$12,785,432",movie,Domestic
The Prince and Me,2004,"Comedy, Family, Romance",5.9,29,47,6.2,"41,983",1 nomination,"$28,176,497",movie,Foreign
Scooby-Doo 2: Monsters Unleashed,2004,"Adventure, Comedy, Family",5.2,23,34,6.077,"66,359",2 wins & 4 nominations,"$84,239,132",movie,Foreign
Sky Captain and the World of Tomorrow,2004,"Action, Adventure, Mystery",6.1,71,64,5.9,"87,966",8 wins & 19 nominations,"$37,762,677",movie,Domestic
Wicker Park,2004,"Drama, Mystery, Romance",6.9,27,40,6.8,"59,134",1 nomination,"$13,001,257",movie,Foreign
Without a Paddle,2004,"Adventure, Comedy, Mystery",5.8,14,29,5.6,"51,676",N/A,"$58,169,327",movie,Foreign
Beauty Shop,2005,Comedy,5.6,38,53,6.3,"18,954",15 nominations,"$36,351,350",movie,Foreign
Hustle & Flow,2005,"Crime, Drama, Music",7.3,82,68,7.1,"43,722",Won 1 Oscar. 25 wins & 47 nominations total,"$22,202,809",movie,Foreign
Kicking & Screaming,2005,"Comedy, Family, Romance",5.6,41,45,5.8,"41,291",6 nominations,"$52,842,724",movie,Foreign
In Her Shoes,2005,"Comedy, Drama, Romance",6.5,74,60,6.2,"65,655",1 win & 7 nominations,"$32,880,591",movie,Domestic
Basic Instinct 2,2006,"Drama, Mystery, Thriller",4.4,6,26,5.0,"42,007",8 wins & 6 nominations,"$5,971,336",movie,Domestic
Employee of the Month,2006,"Comedy, Romance",5.6,20,36,5.6,"50,743",2 nominations,"$28,444,855",movie,Foreign
Goal! The Dream Begins,2005,"Drama, Romance, Sport",6.7,43,53,6.8,"66,473",1 win & 6 nominations,"$4,283,255",movie,Domestic
Lady in the Water,2006,"Drama, Fantasy, Mystery",5.5,25,36,5.554,"105,178",10 wins & 11 nominations,"$42,285,169",movie,Foreign
Little Man,2006,"Comedy, Crime",4.5,12,26,5.904,"60,898",6 wins & 15 nominations,"$58,645,052",movie,Foreign
The Omen,2006,"Drama, Fantasy, Horror",5.5,26,43,5.6,"64,178",1 win & 7 nominations,"$54,607,383",movie,Foreign
Take the Lead,2006,"Drama, Music",6.6,44,55,6.901,"26,791",1 win & 6 nominations,"$34,742,066",movie,Foreign
The Texas Chainsaw Massacre: The Beginning,2006,Horror,5.8,15,30,6.1,"78,196",6 nominations,"$39,517,763",movie,Foreign
"You, Me and Dupree",2006,"Comedy, Romance",5.6,20,46,5.6,"84,495",3 wins & 2 nominations,"$75,628,110",movie,Foreign
The Ultimate Gift,2006,"Drama, Family, Romance",7.3,33,49,7.6,"20,811",4 wins & 1 nomination,"$3,438,735",movie,Foreign
Black Christmas,2006,Horror,4.7,22/10,22,5.2,"30,991",2 nominations,"$16,273,581",movie,Domestic
Harsh Times,2005,"Action, Crime, Drama",6.8,48,56,6.4,"69,070",2 nominations,"$3,337,931",movie,Foreign
The Invisible,2007,"Crime, Drama, Fantasy",6.1,20,36,6.4,"36,743",1 nomination,"$20,578,909",movie,Domestic
The Last Legion,2007,"Action, Adventure, History",5.4,15,37,5.586,"37,343",2 nominations,"$5,933,494",movie,Domestic
The Messengers,2007,"Drama, Horror, Mystery",5.3,11,34,5.7,"41,469",1 win & 2 nominations,"$35,374,833",movie,Domestic
The Reaping,2007,"Horror, Thriller",5.6,8,36,5.8,"44,940",1 nomination,"$25,126,214",movie,Foreign
The Water Horse,2007,"Adventure, Family, Fantasy",6.4,71/10,71,6.486,"43,372",6 nominations,"$40,946,255",movie,Domestic
Be Kind Rewind,2008,Comedy,6.4,65,52,6.307,"94,853",4 nominations,"$11,175,164",movie,Domestic
One Missed Call,2008,"Horror, Mystery",4.0,0,24,5.4,"34,267",2 nominations,"$26,890,041",movie,Foreign
Beverly Hills Chihuahua,2008,"Adventure, Comedy, Drama",3.9,40,41,5.4,"26,236",3 wins & 6 nominations,"$94,514,402",movie,Foreign
College,2008,Comedy,4.6,5,15,4.7,"12,714",N/A,"$4,694,636",movie,Foreign
Prom Night,2008,Horror,3.9,9,17,5.0,"38,376",1 win & 4 nominations,"$43,869,350",movie,Domestic
Redbelt,2008,"Drama, Sport",6.7,68,69,6.4,"21,595",1 nomination,"$2,345,941",movie,Foreign
Shutter,2008,"Horror, Mystery, Thriller",5.2,11,37,5.5,"37,993",N/A,"$25,928,550",movie,Domestic
Aliens in the Attic,2009,"Adventure, Comedy, Family",5.4,34,42,5.7,"24,773",2 nominations,"$25,200,412",movie,Domestic
Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Fantasy",3.7,3,17,4.3,"25,545",N/A,"$8,742,261",movie,Domestic
Armored,2009,"Action, Crime, Mystery",5.7,41,50,5.7,"32,042",N/A,"$15,988,876",movie,Foreign
For Colored Girls,2010,Drama,6.2,32,50,6.8,"8,243",14 wins & 17 nominations,"$37,729,698",movie,Foreign
Just Wright,2010,"Comedy, Romance, Sport",5.9,47,51,6.5,"15,787",1 win & 11 nominations,"$21,540,363",movie,Foreign
Jumping the Broom,2011,"Comedy, Drama",5.7,57,56,6.0,"11,666",3 wins & 13 nominations,"$37,295,394",movie,Foreign
Madea's Witness Protection,2012,"Comedy, Crime, Drama",5.0,19,42,6.1,"11,493",1 win & 5 nominations,"$65,653,242",movie,Foreign
Wrong,2012,"Comedy, Mystery",6.2,65,58,6.3,"10,721",7 nominations,"$46,021",movie,Domestic
About Time,2013,"Comedy, Drama, Fantasy",7.8,71,55,7.9,"397,143",3 wins & 9 nominations,"$15,322,921",movie,Foreign
Legends of Oz: Dorothy's Return,2013,"Animation, Adventure, Family",5.0,16,25,6.3,"6,295",1 win & 5 nominations,"$8,462,347",movie,Foreign
Broken,2012,"Drama, Romance",7.2,62,53,6.9,"15,261",10 wins & 19 nominations,N/A,movie,Foreign
Nobody Walks,2012,Drama,5.3,41,51,4.7,"5,227",4 nominations,"$25,342",movie,Foreign
Silent Night,2012,"Comedy, Horror, Mystery",5.2,58,53,6.9,"9,506",N/A,"$14,567",movie,Foreign
Pusher,2012,"Crime, Thriller",5.5,47,52,5.3,"4,997",2 nominations,N/A,movie,Foreign
Dragon Eyes,2012,"Action, Crime, Drama",4.4,,,,,,,,Foreign
The Courier,2012,"Action, Crime, Drama",4.5,,,,,,,,Foreign
Hijacked,2012,"Action, Crime, Thriller",3.8,,,,,,,,Foreign
Freaky Deaky,2012,"Comedy, Crime, Thriller",5.7,,,,,,,,Foreign
Stash House,2012,"Action, Horror, Thriller",4.7,,,,,,,,Foreign
Life Happens,2011,Comedy,5.6,26,44,5.5,"8,197",N/A,"$30,905",movie,Foreign
Puncture,2011,"Biography, Drama, Mystery",6.8,52,54,6.7,"24,995",2 wins,"$68,945",movie,Foreign
The Snowtown Murders,2011,"Biography, Crime, Drama",6.6,85,66,6.3,"20,847",23 wins & 23 nominations,"$8,452",movie,Foreign
"Love, Wedding, Marriage",2011,"Comedy, Romance",4.8,0,13,5.2,"9,599",N/A,"$1,926",movie,Foreign
Honey 2,2011,"Comedy, Drama, Music",5.2,10,N/A,6.3,"7,751",N/A,N/A,movie,Foreign
The Tunnel,2011,"Horror, Mystery, Thriller",5.8,100,N/A,5.7,"23,508",3 wins & 1 nomination,"$1,532",movie,Foreign
Megan Is Missing,2011,"Drama, Horror, Thriller",4.6,60,N/A,6.3,"16,731",1 nomination,N/A,movie,Foreign
A Bag of Hammers,2011,"Comedy, Drama",6.6,62,50,5.8,"3,144",3 nominations,N/A,movie,Foreign
Faces in the Crowd,2011,"Crime, Drama, Mystery",5.7,0,N/A,6.1,"20,245",N/A,N/A,movie,Foreign
Vile,2011,"Horror, Mystery",4.9,,,,,,,,Foreign
Assassination Games,2011,"Action, Crime, Drama",6.1,,,,,,,,Foreign
The Details,2011,"Comedy, Drama",6.1,47,56,6.0,"9,953",N/A,"$63,595",movie,Foreign
Lovely Molly,2011,"Drama, Horror",5.3,47,50,5.1,"10,162",1 win & 5 nominations,"$18,464",movie,Foreign
Greenberg,2010,"Comedy, Drama, Romance",6.1,77,76,5.9,"39,628",2 wins & 16 nominations,"$4,234,170",movie,Foreign
Bunraku,2010,"Action, Drama, Thriller",6.1,18,28,5.8,"20,634",N/A,N/A,movie,Foreign
The Perfect Host,2010,"Comedy, Crime, Thriller",6.7,45,48,6.4,"29,228",3 wins,"$48,764",movie,Foreign
The Tempest,2010,"Comedy, Drama, Fantasy",5.3,31,43,5.4,"8,258",Nominated for 1 Oscar. 2 wins & 5 nominations total,"$277,943",movie,Foreign
Mother's Day,2010,"Drama, Horror, Thriller",6.2,46,34,6.5,"18,633",N/A,N/A,movie,Foreign
Stan Helsing,2009,"Comedy, Fantasy, Horror",3.6,14,N/A,4.2,"15,063",1 win,N/A,movie,Domestic
City Island,2009,"Comedy, Drama",7.3,83,66,6.9,"32,773",3 wins & 4 nominations,"$6,671,036",movie,Foreign
The Keeper,2009,"Action, Crime, Thriller",5.0,,,,,,,,Foreign
The Maiden Heist,2009,"Comedy, Crime",6.0,,,,,,,,Foreign
Damage,2009,"Action, Drama",5.7,,,,,,,,Foreign
Middle Men,2009,"Comedy, Crime, Drama",6.8,40,60,6.5,"38,503",N/A,"$754,301",movie,Foreign
Tinker Bell and the Lost Treasure,2009,"Animation, Adventure, Family, Fantasy",6.7,100,N/A,6.8,"9,958",1 nomination.,N/A,movie,Foreign
The Disappearance of Alice Creed,2009,"Crime, Thriller",6.7,81,65,6.5,"27,805",1 win & 6 nominations,"$166,980",movie,Foreign
Rampage,2009,"Action, Crime, Thriller",6.2,,,,,,,,Foreign
Women in Trouble,2009,"Comedy, Drama",5.6,29,43,5.1,"6,629",N/A,"$18,000",movie,Foreign
Wristcutters: A Love Story,2006,"Comedy, Drama, Fantasy",7.2,62/10,62,6.935,"58,185",9 wins & 6 nominations,"$446,165",movie,Foreign
Diary of the Dead,2007,"Fantasy, Horror, Sci-Fi",5.5,61,66,5.57,"49,569",1 win & 1 nomination,"$958,961",movie,Foreign
Virgin Territory,2007,"Adventure, Comedy, Romance",4.7,,,,,,,,Foreign
Mean Creek,2004,"Crime, Drama",7.1,89,74,6.8,"33,555",4 wins & 7 nominations,"$603,951",movie,Foreign
Saved!,2004,"Comedy, Drama",6.7,61,62,6.4,"49,413",1 win & 6 nominations,"$8,940,582",movie,Foreign
The Visitor,2007,Drama,7.6,90,79,7.1,"44,984",Nominated for 1 Oscar. 19 wins & 35 nominations total,"$9,427,089",movie,Foreign
YPF,2007,"Comedy, Drama, Romance",6.2,41,39,5.8,"19,657",5 wins & 2 nominations,"$9,359",movie,Foreign
Afterwards,2008,"Drama, Mystery, Thriller",5.7,,,,,,,,Foreign
Open Season 2,2008,"Animation, Adventure, Comedy",5.5,,,,,,,,Foreign
Chaos Theory,2007,"Comedy, Drama, Romance",6.6,30,44,0.0,"33,778",1 nomination,"$240,476",movie,Foreign
The Squid and the Whale,2005,"Comedy, Drama",7.3,92,82,6.9,"91,538",Nominated for 1 Oscar. 23 wins & 49 nominations total,"$7,372,734",movie,Foreign
The Deal,2008,"Comedy, Romance",5.6,,,,,,,,Domestic
