Title,Year,Genre(s),IMDB,Rotten Tomatoes,Metacritic,TMDB,# of IMDB Votes,# of Awards,Gross Domestic Box Office Sales ($),Media,Origin
RED,2010,"Action, Comedy, Crime",7.0,72,60,6.7,"328,068",4 wins & 19 nominations,"$90,380,162",movie,Foreign
Shutter Island,2010,"Drama, Mystery, Thriller",8.2,69,63,8.202,"1,491,921",11 wins & 66 nominations,"$128,012,934",movie,Foreign
Tron: Legacy,2010,"Action, Adventure, Sci-Fi",6.8,51,49,6.487,"359,496",Nominated for 1 Oscar. 10 wins & 52 nominations total,"$172,062,763",movie,Foreign
Toy Story 3,2010,"Animation, Adventure, Comedy",8.3,98,92,7.8,"905,300",Won 2 Oscars. 63 wins & 96 nominations total,"$415,004,880",movie,Foreign
Drive,2011,"Action, Drama",7.8,93,78,7.6,"717,971",Nominated for 1 Oscar. 79 wins & 180 nominations total,"$35,061,555",movie,Foreign
Fast Five,2011,"Action, Crime, Thriller",7.3,78,66,7.2,"411,818",9 wins & 21 nominations,"$209,837,675",movie,Foreign
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Family, Fantasy",8.1,96,85,8.1,"965,522",Nominated for 3 Oscars. 49 wins & 95 nominations total,"$381,447,587",movie,Domestic
Limitless,2011,"Sci-Fi, Thriller",7.4,68,59,7.193,"619,214",2 wins & 8 nominations,"$79,249,455",movie,Foreign
Pirates of the Caribbean: On Stranger Tides,2011,"Action, Adventure, Fantasy",6.6,33,45,6.6,"572,784",3 wins & 31 nominations,"$241,071,802",movie,Foreign
X-Men: First Class,2011,"Action, Sci-Fi",7.7,86,65,7.301,"735,642",22 wins & 40 nominations,"$146,408,305",movie,Foreign
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",7.8,86,71,7.374,"502,684",Won 1 Oscar. 26 wins & 91 nominations total,"$102,515,793",movie,Foreign
The Help,2011,Drama,8.1,76,62,8.213,"499,960",Won 1 Oscar. 79 wins & 121 nominations total,"$169,708,112",movie,Foreign
In Time,2011,"Action, Sci-Fi, Thriller",6.7,37,53,7.0,"454,559",2 nominations,"$37,520,095",movie,Foreign
21 Jump Street,2012,"Action, Comedy, Crime",7.2,85,69,6.881,"607,940",11 wins & 21 nominations,"$138,447,667",movie,Foreign
The Amazing Spider-Man,2012,"Action, Adventure, Sci-Fi",6.9,71,66,6.705,"715,163",2 wins & 33 nominations,"$262,782,352",movie,Foreign
American Reunion,2012,Comedy,6.7,45,49,6.299,"226,095",1 win & 4 nominations,"$57,011,521",movie,Foreign
The Avengers,2012,"Action, Sci-Fi",8.0,91,69,7.718,"1,477,607",Nominated for 1 Oscar. 39 wins & 81 nominations total,"$623,357,910",movie,Foreign
Battleship,2012,"Action, Adventure, Sci-Fi",5.8,34,41,5.855,"259,779",4 wins & 16 nominations,"$65,422,625",movie,Foreign
The Bourne Legacy,2012,"Action, Adventure, Thriller",6.6,56,61,6.224,"318,521",1 win & 12 nominations,"$113,203,870",movie,Foreign
Brave,2012,"Animation, Action, Adventure",7.1,79,69,7.021,"450,415",Won 1 Oscar. 20 wins & 48 nominations total,"$237,283,207",movie,Foreign
The Cabin in the Woods,2011,"Horror, Mystery, Thriller",7.0,92,72,6.623,"458,877",20 wins & 34 nominations,"$42,073,277",movie,Domestic
