Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
48,tt13143964,2021-05-26,2021-05-26,,"Borat Subsequent Moviefilm","Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan",https://www.imdb.com/title/tt13143964/,Movie,6.6,95,2020,"Comedy",156848,2020-10-23,"Jason Woliner"
49,tt12882620,2021-05-26,2021-05-26,,"Evil Eye","Evil Eye",https://www.imdb.com/title/tt12882620/,Movie,4.8,90,2020,"Horror, Mystery, Thriller",4302,2020-10-13,"Elan Dassani, Rajeev Dassani"
50,tt11044858,2021-05-26,2021-05-26,,"Nocturne","Nocturne",https://www.imdb.com/title/tt11044858/,Movie,5.7,90,2020,"Drama, Horror, Music, Thriller",13317,2020-10-13,"Zu Quirke"
51,tt7945440,2021-05-26,2021-05-26,,"The Lie","The Lie",https://www.imdb.com/title/tt7945440/,Movie,5.8,97,2018,"Drama, Thriller",21252,2020-10-06,"Veena Sud"
52,tt12298506,2021-05-26,2021-05-26,,"Black Box","Black Box",https://www.imdb.com/title/tt12298506/,Movie,6.2,100,2020,"Horror, Mystery, Sci-Fi, Thriller",17821,2020-10-06,"Emmanuel Osei-Kuffour"
53,tt9735758,2021-05-26,2021-05-26,,"Get Duked!","Boyz in the Wood",https://www.imdb.com/title/tt9735758/,Movie,6.2,87,2019,"Comedy, Horror, Music",8927,2020-08-28,"Ninian Doff"
54,tt5843876,2020-05-29,2020-05-29,,"Chemical Hearts","Chemical Hearts",https://www.imdb.com/title/tt5843876/,Movie,6.3,93,2020,"Drama, Romance",16769,2020-08-21,"Richard Tanne"
55,tt6017756,2020-05-15,2020-05-15,,"Radioactive","Radioactive",https://www.imdb.com/title/tt6017756/,Movie,6.3,109,2019,"Biography, Drama, Romance",22398,2020-07-24,"Marjane Satrapi"
56,tt8242084,2020-05-29,2020-05-29,,"My Spy","My Spy",https://www.imdb.com/title/tt8242084/,Movie,6.4,99,2020,"Action, Comedy",38176,2020-06-26,"Peter Segal"
57,tt6436726,2020-05-15,2020-05-15,,"7500","7500",https://www.imdb.com/title/tt6436726/,Movie,6.3,93,2019,"Action, Drama, Thriller",34300,2020-06-18,"Patrick Vollrath"
