Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
51,tt2818496,2021-01-04,2021-01-04,,"The Awesomes","The Awesomes",https://www.imdb.com/title/tt2818496/,TV Series,7.2,23,2013,"Animation, Action, Comedy",1651,2013-08-01,
52,tt8910922,2021-01-04,2021-01-04,,"Solar Opposites","Solar Opposites",https://www.imdb.com/title/tt8910922/,TV Series,7.9,22,2020,"Animation, Adventure, Comedy, Sci-Fi",32396,2020-05-08,
53,tt8777690,2021-01-04,2021-01-04,,"Crossing Swords","Crossing Swords",https://www.imdb.com/title/tt8777690/,TV Series,6.7,22,2020,"Animation, Comedy, Fantasy",1868,2020-06-12,
54,tt2269658,2021-01-04,2021-01-04,,"Doozers","Doozers",https://www.imdb.com/title/tt2269658/,TV Series,7.2,11,2012,"Animation, Family",78,2012,
55,tt10394790,2021-01-04,2021-01-04,,"The Bravest Knight","The Bravest Knight",https://www.imdb.com/title/tt10394790/,TV Series,6.9,12,2019,"Animation, Family",149,2019-06-21,
56,tt6951546,2021-01-04,2021-01-04,,"Animaniacs","Animaniacs",https://www.imdb.com/title/tt6951546/,TV Series,7.7,21,2020,"Animation, Adventure, Comedy, Family, Musical",4093,2020-11-20,
57,tt2057511,2021-01-04,2021-01-04,,"A Day in the Life","A Day in the Life",https://www.imdb.com/title/tt2057511/,TV Series,6.0,25,2011,"Documentary",61,2011-08-17,
58,tt2188577,2021-01-04,2021-01-04,,"Up to Speed","Up to Speed",https://www.imdb.com/title/tt2188577/,TV Series,6.6,60,2012,"Biography, Comedy",170,2012-08-09,
59,tt2884130,2021-01-04,2021-01-04,,"Behind the Mask","Behind the Mask",https://www.imdb.com/title/tt2884130/,TV Series,7.5,30,2013,"Documentary, Sport",173,2013-10-29,
60,tt5122514,2021-01-04,2021-01-04,,"RocketJump: The Show","RocketJump: The Show",https://www.imdb.com/title/tt5122514/,TV Series,7.1,30,2015,"Action, Comedy",178,2015-12-02,
61,tt5361394,2021-01-04,2021-01-04,,"Triumph's Election Watch 2016","Triumph's Election Watch 2016",https://www.imdb.com/title/tt5361394/,TV Mini Series,8.3,85,2016,"Comedy",206,2016-02-08,
62,tt11203896,2021-01-04,2021-01-04,,"Vice Investigates","Vice Investigates",https://www.imdb.com/title/tt11203896/,TV Series,7.1,,2019,"Documentary",108,2019-11-01,
63,tt12076274,2021-01-04,2021-01-04,,"Defining Moments with OZY","Defining Moments with OZY",https://www.imdb.com/title/tt12076274/,TV Series,8.1,30,2020,"Documentary, Biography",32,2020-03-08,
64,tt11558924,2021-01-04,2021-01-04,,"Hillary","Hillary",https://www.imdb.com/title/tt11558924/,TV Mini Series,7.0,63,2020,"Documentary, Biography",2702,2020-03-06,
65,tt1658997,2021-01-04,2021-01-04,,"If I Can Dream","If I Can Dream",https://www.imdb.com/title/tt1658997/,TV Series,6.2,,2010,"Reality-TV",47,2010-03-02,
66,tt12244950,2021-01-04,2021-01-04,,"Taste the Nation with Padma Lakshmi","Taste the Nation with Padma Lakshmi",https://www.imdb.com/title/tt12244950/,TV Series,8.1,30,2020,"Adventure, Reality-TV",744,2020-06-18,
67,tt10276462,2021-01-04,2021-01-04,,"Eater's Guide to the World","Eater's Guide to the World",https://www.imdb.com/title/tt10276462/,TV Series,6.7,30,2020,"Documentary",109,2020-11-11,
68,tt1826909,2021-01-04,2021-01-04,,"The Morning After","The Morning After",https://www.imdb.com/title/tt1826909/,TV Series,7.2,5,2011,"Short, Talk-Show",100,2010-11-04,
69,tt2404125,2021-01-04,2021-01-04,,"Spoilers with Kevin Smith","Spoilers with Kevin Smith",https://www.imdb.com/title/tt2404125/,TV Series,6.8,30,2012,"Talk-Show",310,2012-06-04,
70,tt7509270,2021-01-04,2021-01-04,,"I Love You, America","I Love You, America",https://www.imdb.com/title/tt7509270/,TV Series,6.3,29,2017,"Comedy, Talk-Show",1387,2017-10-12,
71,tt0459159,2021-01-04,2021-01-04,,"The Thick of It","The Thick of It",https://www.imdb.com/title/tt0459159/,TV Series,8.7,30,2005,"Comedy",26793,2005-05-19,
72,tt3107224,2021-01-04,2021-01-04,,"Mother Up!","Mother Up!",https://www.imdb.com/title/tt3107224/,TV Series,5.4,,2013,"Animation, Comedy",621,2013-10,
73,tt2603596,2021-01-04,2021-01-04,,"The Wrong Mans","The Wrong Mans",https://www.imdb.com/title/tt2603596/,TV Series,7.7,29,2013,"Comedy, Crime, Thriller",8032,2013-09-24,
74,tt6402362,2021-01-04,2021-01-04,,"Hard Sun","Hard Sun",https://www.imdb.com/title/tt6402362/,TV Mini Series,6.6,60,2018,"Crime, Drama, Sci-Fi",5375,2018-03-07,
