Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
96,tt3685236,2020-01-02,2020-01-02,,"Ibiza","Ibiza",https://www.imdb.com/title/tt3685236/,Movie,5.2,94,2018,"Comedy, Romance",19035,2018-05-25,"Alex Richanbach"
97,tt5688996,2020-01-02,2020-01-02,,"Alex Strangelove","Alex Strangelove",https://www.imdb.com/title/tt5688996/,Movie,6.3,99,2018,"Comedy, Drama, Romance",19801,2018-06-08,"Craig Johnson"
98,tt5304992,2020-01-02,2020-01-02,,"Set It Up","Set It Up",https://www.imdb.com/title/tt5304992/,Movie,6.5,105,2018,"Comedy, Romance",67876,2018-06-15,"Claire Scanlon"
99,tt8439854,2020-01-02,2020-05-09,"Hindi","Lust Stories","Lust Stories",https://www.imdb.com/title/tt8439854/,Movie,6.4,120,2018,"Drama, Romance",13462,2018-06-15,"Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap"
100,tt4940416,2020-05-29,2020-05-29,,"Duck Duck Goose","Duck Duck Goose",https://www.imdb.com/title/tt4940416/,Movie,5.7,91,2018,"Animation, Adventure, Comedy, Family",4243,2018-07-20,"Christopher Jenkins"
101,tt3704700,2020-05-29,2020-05-29,,"Brain on Fire","Brain on Fire",https://www.imdb.com/title/tt3704700/,Movie,6.6,88,2016,"Biography, Drama",24801,2018-06-22,"Gerard Barrett"
102,tt6218358,2020-01-02,2020-01-02,,"Calibre","Calibre",https://www.imdb.com/title/tt6218358/,Movie,6.8,101,2018,"Drama, Thriller",34450,2018-06-29,"Matt Palmer"
103,tt4357394,2020-01-02,2020-01-02,,"Tau","Tau",https://www.imdb.com/title/tt4357394/,Movie,5.8,97,2018,"Horror, Sci-Fi, Thriller",35455,2018-06-29,"Federico D'Alessandro"
104,tt4762824,2020-01-02,2020-01-02,,"The Legacy of a Whitetail Deer Hunter","The Legacy of a Whitetail Deer Hunter",https://www.imdb.com/title/tt4762824/,Movie,5.5,83,2018,"Comedy, Drama",4298,2018-07-06,"Jody Hill"
105,tt5246700,2020-01-02,2020-01-02,,"How It Ends","How It Ends",https://www.imdb.com/title/tt5246700/,Movie,5.1,113,2018,"Action, Drama, Horror, Mystery, Sci-Fi, Thriller",59943,2018-07-13,"David M. Rosenthal"
106,tt7256866,2020-01-02,2020-01-02,,"Father of the Year","Father of the Year",https://www.imdb.com/title/tt7256866/,Movie,5.2,94,2018,"Comedy",12849,2018-07-20,"Tyler Spindel"
107,tt3201640,2020-01-02,2020-01-02,,"Extinction","Extinction",https://www.imdb.com/title/tt3201640/,Movie,5.8,95,2018,"Action, Drama, Sci-Fi, Thriller",58740,2018-07-27,"Ben Young"
108,tt6514010,2020-01-02,2020-05-09,"Hindi","Long Live Brij Mohan","Brij Mohan Amar Rahe",https://www.imdb.com/title/tt6514010/,Movie,6.5,105,2017,"Comedy, Crime, Drama",3940,2018-08-03,"Nikhil Nagesh Bhat"
109,tt7170950,2020-01-02,2020-01-02,,"Like Father","Like Father",https://www.imdb.com/title/tt7170950/,Movie,6.1,98,2018,"Drama",23509,2018-08-03,"Lauren Miller Rogen"
110,tt7525778,2020-01-02,2020-01-02,,"The Package","The Package",https://www.imdb.com/title/tt7525778/,Movie,5.6,94,2018,"Comedy, Thriller",21905,2018-08-10,"Jake Szymanski"
111,tt1289403,2020-05-29,2020-05-29,,"The Guernsey Literary and Potato Peel Pie Society","The Guernsey Literary and Potato Peel Pie Society",https://www.imdb.com/title/tt1289403/,Movie,7.3,124,2018,"Drama, Romance, War",54260,2018-08-10,"Mike Newell"
112,tt3846674,2020-01-02,2020-01-02,,"To All the Boys I've Loved Before","To All the Boys I've Loved Before",https://www.imdb.com/title/tt3846674/,Movie,7.0,99,2018,"Comedy, Drama, Romance",127710,2018-08-17,"Susan Johnson"
113,tt3960240,2020-01-02,2020-01-02,,"The After Party","The After Party",https://www.imdb.com/title/tt3960240/,Movie,5.8,120,2018,"Comedy, Music",4852,2018-08-24,"Ian Edelman"
114,tt3120280,2020-01-02,2020-01-02,,"Sierra Burgess Is a Loser","Sierra Burgess Is a Loser",https://www.imdb.com/title/tt3120280/,Movie,5.8,105,2018,"Comedy, Drama, Romance",41568,2018-09-07,"Ian Samuels"
115,tt7133686,2020-01-02,2020-01-02,,"Next Gen","Next Gen",https://www.imdb.com/title/tt7133686/,Movie,6.6,106,2018,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",19909,2018-09-07,"Kevin R. Adams, Joe Ksander"
116,tt6485928,2020-01-02,2020-01-02,,"The Land of Steady Habits","The Land of Steady Habits",https://www.imdb.com/title/tt6485928/,Movie,6.2,98,2018,"Comedy, Drama",9150,2018-09-14,"Nicole Holofcener"
117,tt5968274,2020-01-02,2020-05-09,"English/Arabic/Hebrew","The Angel","The Angel",https://www.imdb.com/title/tt5968274/,Movie,6.7,114,2018,"Action, Biography, Drama, Thriller",15793,2018-09-14,"Ariel Vromen"
118,tt0365545,2020-01-02,2020-01-02,,"Nappily Ever After","Nappily Ever After",https://www.imdb.com/title/tt0365545/,Movie,6.4,98,2018,"Comedy, Drama, Romance",9974,2018-09-21,"Haifaa Al-Mansour"
119,tt5057140,2020-01-02,2020-01-02,,"Hold the Dark","Hold the Dark",https://www.imdb.com/title/tt5057140/,Movie,5.6,125,2018,"Action, Crime, Drama, Mystery, Thriller",41166,2018-09-28,"Jeremy Saulnier"
120,tt5208252,2020-05-29,2020-05-29,,"Operation Finale","Operation Finale",https://www.imdb.com/title/tt5208252/,Movie,6.6,122,2018,"Biography, Drama, History, Thriller, War",49920,2018-08-29,"Chris Weitz"
121,tt5536610,2020-01-02,2020-01-02,,"Private Life","Private Life",https://www.imdb.com/title/tt5536610/,Movie,7.2,123,2018,"Comedy, Drama",22579,2018-10-05,"Tamara Jenkins"
122,tt2386237,2020-05-29,2020-05-29,,"Malevolent","Malevolent",https://www.imdb.com/title/tt2386237/,Movie,4.9,89,2018,"Horror, Mystery, Thriller",17722,2018-10-05,"Olaf de Fleur Johannesson"
123,tt7280898,2020-01-02,2020-01-02,,"22 July","22 July",https://www.imdb.com/title/tt7280898/,Movie,6.8,143,2018,"Biography, Crime, Drama, History, Mystery, Thriller",38378,2018-10-10,"Paul Greengrass"
124,tt6217306,2020-01-02,2020-01-02,,"Apostle","Apostle",https://www.imdb.com/title/tt6217306/,Movie,6.3,130,2018,"Drama, Fantasy, Horror, Mystery, Thriller",61000,2018-10-12,"Gareth Evans"
125,tt6952960,2020-05-29,2020-05-29,,"The Kindergarten Teacher","The Kindergarten Teacher",https://www.imdb.com/title/tt6952960/,Movie,6.7,96,2018,"Drama, Thriller",18081,2018-10-12,"Sara Colangelo"
126,tt6116856,2020-04-26,2020-05-09,"Indonesian","The Night Comes for Us","The Night Comes for Us",https://www.imdb.com/title/tt6116856/,Movie,6.9,121,2018,"Action, Crime, Thriller",30205,2018-10-19,"Timo Tjahjanto"
127,tt5851786,2020-05-29,2020-05-29,,"Gnome Alone","Gnome Alone",https://www.imdb.com/title/tt5851786/,Movie,5.6,85,2017,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Thriller",4155,2018-10-14,"Peter Lepeniotis"
128,tt1682886,2020-01-02,2020-01-02,,"Been So Long","Been So Long",https://www.imdb.com/title/tt1682886/,Movie,5.5,100,2018,"Drama, Musical, Romance",1204,2018-10-26,"Tinge Krishnan"
